eventid init_us end_us type
<id001> #1->#1. Wnd[300000-375000]us. Type ESENSOR
<id004> #1->#1. Wnd[300000-375100]us. Type ISENSOR
<id002> #2->#2. Wnd[300000-450000]us. Type ESENSOR
<id005> #2->#2. Wnd[300000-450100]us. Type ISENSOR
<id003> #3->#3. Wnd[300000-525000]us. Type ESENSOR
<id006> #3->#3. Wnd[300000-525100]us. Type ISENSOR
<id007> #1->#1. Wnd[600000-675000]us. Type ESENSOR
<id010> #1->#1. Wnd[600000-675100]us. Type ISENSOR
<id008> #2->#2. Wnd[600000-750000]us. Type ESENSOR
<id011> #2->#2. Wnd[600000-750100]us. Type ISENSOR
<id009> #3->#3. Wnd[600000-825000]us. Type ESENSOR
<id012> #3->#3. Wnd[600000-825100]us. Type ISENSOR
<id013> #1->#1. Wnd[900000-975000]us. Type ESENSOR
<id016> #1->#1. Wnd[900000-975100]us. Type ISENSOR
<id014> #2->#2. Wnd[900000-1050000]us. Type ESENSOR
<id017> #2->#2. Wnd[900000-1050100]us. Type ISENSOR
<id015> #3->#3. Wnd[900000-1125000]us. Type ESENSOR
<id018> #3->#3. Wnd[900000-1125100]us. Type ISENSOR
<id019> #1->#1. Wnd[1200000-1275000]us. Type ESENSOR
<id022> #1->#1. Wnd[1200000-1275100]us. Type ISENSOR
<id020> #2->#2. Wnd[1200000-1350000]us. Type ESENSOR
<id023> #2->#2. Wnd[1200000-1350100]us. Type ISENSOR
<id021> #3->#3. Wnd[1200000-1425000]us. Type ESENSOR
<id024> #3->#3. Wnd[1200000-1425100]us. Type ISENSOR
<id025> #1->#1. Wnd[1500000-1575000]us. Type ESENSOR
<id028> #1->#1. Wnd[1500000-1575100]us. Type ISENSOR
<id026> #2->#2. Wnd[1500000-1650000]us. Type ESENSOR
<id029> #2->#2. Wnd[1500000-1650100]us. Type ISENSOR
<id027> #3->#3. Wnd[1500000-1725000]us. Type ESENSOR
<id030> #3->#3. Wnd[1500000-1725100]us. Type ISENSOR
<id031> #1->#1. Wnd[1800000-1875000]us. Type ESENSOR
<id034> #1->#1. Wnd[1800000-1875100]us. Type ISENSOR
<id032> #2->#2. Wnd[1800000-1950000]us. Type ESENSOR
<id035> #2->#2. Wnd[1800000-1950100]us. Type ISENSOR
<id033> #3->#3. Wnd[1800000-2025000]us. Type ESENSOR
<id036> #3->#3. Wnd[1800000-2025100]us. Type ISENSOR
<id037> #1->#1. Wnd[2100000-2175000]us. Type ESENSOR
<id040> #1->#1. Wnd[2100000-2175100]us. Type ISENSOR
<id038> #2->#2. Wnd[2100000-2250000]us. Type ESENSOR
<id041> #2->#2. Wnd[2100000-2250100]us. Type ISENSOR
<id039> #3->#3. Wnd[2100000-2325000]us. Type ESENSOR
<id042> #3->#3. Wnd[2100000-2325100]us. Type ISENSOR
<id043> #1->#1. Wnd[2400000-2475000]us. Type ESENSOR
<id046> #1->#1. Wnd[2400000-2475100]us. Type ISENSOR
<id044> #2->#2. Wnd[2400000-2550000]us. Type ESENSOR
<id047> #2->#2. Wnd[2400000-2550100]us. Type ISENSOR
<id045> #3->#3. Wnd[2400000-2625000]us. Type ESENSOR
<id048> #3->#3. Wnd[2400000-2625100]us. Type ISENSOR
<id049> #1->#1. Wnd[2700000-2775000]us. Type ESENSOR
<id052> #1->#1. Wnd[2700000-2775100]us. Type ISENSOR
<id050> #2->#2. Wnd[2700000-2850000]us. Type ESENSOR
<id053> #2->#2. Wnd[2700000-2850100]us. Type ISENSOR
<id051> #3->#3. Wnd[2700000-2925000]us. Type ESENSOR
<id054> #3->#3. Wnd[2700000-2925100]us. Type ISENSOR
<id055> #1->#1. Wnd[3000000-3075000]us. Type ESENSOR
<id058> #1->#1. Wnd[3000000-3075100]us. Type ISENSOR
<id056> #2->#2. Wnd[3000000-3150000]us. Type ESENSOR
<id059> #2->#2. Wnd[3000000-3150100]us. Type ISENSOR
<id057> #3->#3. Wnd[3000000-3225000]us. Type ESENSOR
<id060> #3->#3. Wnd[3000000-3225100]us. Type ISENSOR
<id061> #1->#1. Wnd[3300000-3375000]us. Type ESENSOR
<id064> #1->#1. Wnd[3300000-3375100]us. Type ISENSOR
<id062> #2->#2. Wnd[3300000-3450000]us. Type ESENSOR
<id065> #2->#2. Wnd[3300000-3450100]us. Type ISENSOR
<id063> #3->#3. Wnd[3300000-3525000]us. Type ESENSOR
<id066> #3->#3. Wnd[3300000-3525100]us. Type ISENSOR
<id067> #1->#1. Wnd[3600000-3675000]us. Type ESENSOR
<id070> #1->#1. Wnd[3600000-3675100]us. Type ISENSOR
<id068> #2->#2. Wnd[3600000-3750000]us. Type ESENSOR
<id071> #2->#2. Wnd[3600000-3750100]us. Type ISENSOR
<id069> #3->#3. Wnd[3600000-3825000]us. Type ESENSOR
<id072> #3->#3. Wnd[3600000-3825100]us. Type ISENSOR
<id073> #1->#1. Wnd[3900000-3975000]us. Type ESENSOR
<id076> #1->#1. Wnd[3900000-3975100]us. Type ISENSOR
<id074> #2->#2. Wnd[3900000-4050000]us. Type ESENSOR
<id077> #2->#2. Wnd[3900000-4050100]us. Type ISENSOR
<id075> #3->#3. Wnd[3900000-4125000]us. Type ESENSOR
<id078> #3->#3. Wnd[3900000-4125100]us. Type ISENSOR
<id079> #1->#1. Wnd[4200000-4275000]us. Type ESENSOR
<id082> #1->#1. Wnd[4200000-4275100]us. Type ISENSOR
<id080> #2->#2. Wnd[4200000-4350000]us. Type ESENSOR
<id083> #2->#2. Wnd[4200000-4350100]us. Type ISENSOR
<id081> #3->#3. Wnd[4200000-4425000]us. Type ESENSOR
<id084> #3->#3. Wnd[4200000-4425100]us. Type ISENSOR
<id085> #1->#1. Wnd[4500000-4575000]us. Type ESENSOR
<id088> #1->#1. Wnd[4500000-4575100]us. Type ISENSOR
<id086> #2->#2. Wnd[4500000-4650000]us. Type ESENSOR
<id089> #2->#2. Wnd[4500000-4650100]us. Type ISENSOR
