eventid init_us end_us type
<id001> #1->#1. Wnd[300000-375000]us. Type ESENSOR
<id004> #1->#1. Wnd[300000-375100]us. Type ISENSOR
<id002> #2->#2. Wnd[300000-450000]us. Type ESENSOR
<id005> #2->#2. Wnd[300000-450100]us. Type ISENSOR
<id003> #3->#3. Wnd[300000-525000]us. Type ESENSOR
<id006> #3->#3. Wnd[300000-525100]us. Type ISENSOR
<id007> #1->#1. Wnd[600000-675000]us. Type ESENSOR
<id010> #1->#1. Wnd[600000-675100]us. Type ISENSOR
<id008> #2->#2. Wnd[600000-750000]us. Type ESENSOR
<id011> #2->#2. Wnd[600000-750100]us. Type ISENSOR
<id009> #3->#3. Wnd[600000-825000]us. Type ESENSOR
<id012> #3->#3. Wnd[600000-825100]us. Type ISENSOR
<id013> #1->#1. Wnd[900000-975000]us. Type ESENSOR
<id016> #1->#1. Wnd[900000-975100]us. Type ISENSOR
<id014> #2->#2. Wnd[900000-1050000]us. Type ESENSOR
<id017> #2->#2. Wnd[900000-1050100]us. Type ISENSOR
<id015> #3->#3. Wnd[900000-1125000]us. Type ESENSOR
<id018> #3->#3. Wnd[900000-1125100]us. Type ISENSOR
<id019> #1->#1. Wnd[1200000-1275000]us. Type ESENSOR
<id022> #1->#1. Wnd[1200000-1275100]us. Type ISENSOR
<id020> #2->#2. Wnd[1200000-1350000]us. Type ESENSOR
<id023> #2->#2. Wnd[1200000-1350100]us. Type ISENSOR
<id021> #3->#3. Wnd[1200000-1425000]us. Type ESENSOR
<id024> #3->#3. Wnd[1200000-1425100]us. Type ISENSOR
<id025> #1->#1. Wnd[1500000-1575000]us. Type ESENSOR
<id028> #1->#1. Wnd[1500000-1575100]us. Type ISENSOR
<id031> #1->#2. Wnd[1594714-1594847]us. Type 80211
<id031> #1->#2. Wnd[1594714-1594847]us. Type 80211
<id032> #1->#3. Wnd[1595715-1595848]us. Type 80211
<id032> #1->#3. Wnd[1595715-1595848]us. Type 80211
<id026> #2->#2. Wnd[1500000-1650000]us. Type ESENSOR
<id029> #2->#2. Wnd[1500000-1650100]us. Type ISENSOR
<id033> #1->#2. Wnd[1714707-1714840]us. Type 80211
<id033> #1->#2. Wnd[1714707-1714840]us. Type 80211
<id034> #1->#3. Wnd[1715698-1715831]us. Type 80211
<id034> #1->#3. Wnd[1715698-1715831]us. Type 80211
<id027> #3->#3. Wnd[1500000-1725000]us. Type ESENSOR
<id030> #3->#3. Wnd[1500000-1725100]us. Type ISENSOR
<id041> #1->#2. Wnd[1834711-1834844]us. Type 80211
<id041> #1->#2. Wnd[1834711-1834844]us. Type 80211
<id042> #1->#3. Wnd[1835701-1835834]us. Type 80211
<id042> #1->#3. Wnd[1835701-1835834]us. Type 80211
<id035> #1->#1. Wnd[1800000-1875000]us. Type ESENSOR
<id038> #1->#1. Wnd[1800000-1875100]us. Type ISENSOR
<id036> #2->#2. Wnd[1800000-1950000]us. Type ESENSOR
<id039> #2->#2. Wnd[1800000-1950100]us. Type ISENSOR
<id043> #1->#2. Wnd[1954707-1954840]us. Type 80211
<id043> #1->#2. Wnd[1954707-1954840]us. Type 80211
<id044> #1->#3. Wnd[1955702-1955835]us. Type 80211
<id044> #1->#3. Wnd[1955702-1955835]us. Type 80211
<id037> #3->#3. Wnd[1800000-2025000]us. Type ESENSOR
<id040> #3->#3. Wnd[1800000-2025100]us. Type ISENSOR
<id045> #1->#2. Wnd[2074704-2074837]us. Type 80211
<id045> #1->#2. Wnd[2074704-2074837]us. Type 80211
<id046> #1->#3. Wnd[2075699-2075832]us. Type 80211
<id046> #1->#3. Wnd[2075699-2075832]us. Type 80211
<id047> #1->#1. Wnd[2100000-2175000]us. Type ESENSOR
<id050> #1->#1. Wnd[2100000-2175100]us. Type ISENSOR
<id053> #1->#2. Wnd[2194705-2194838]us. Type 80211
<id053> #1->#2. Wnd[2194705-2194838]us. Type 80211
<id054> #1->#3. Wnd[2195699-2195832]us. Type 80211
<id054> #1->#3. Wnd[2195699-2195832]us. Type 80211
<id048> #2->#2. Wnd[2100000-2250000]us. Type ESENSOR
<id051> #2->#2. Wnd[2100000-2250100]us. Type ISENSOR
<id055> #1->#2. Wnd[2314701-2314834]us. Type 80211
<id055> #1->#2. Wnd[2314701-2314834]us. Type 80211
<id056> #1->#3. Wnd[2315697-2315830]us. Type 80211
<id056> #1->#3. Wnd[2315697-2315830]us. Type 80211
<id049> #3->#3. Wnd[2100000-2325000]us. Type ESENSOR
<id052> #3->#3. Wnd[2100000-2325100]us. Type ISENSOR
<id063> #1->#2. Wnd[2434710-2434843]us. Type 80211
<id063> #1->#2. Wnd[2434710-2434843]us. Type 80211
<id064> #1->#3. Wnd[2435709-2435842]us. Type 80211
<id064> #1->#3. Wnd[2435709-2435842]us. Type 80211
<id057> #1->#1. Wnd[2400000-2475000]us. Type ESENSOR
<id060> #1->#1. Wnd[2400000-2475100]us. Type ISENSOR
<id058> #2->#2. Wnd[2400000-2550000]us. Type ESENSOR
<id061> #2->#2. Wnd[2400000-2550100]us. Type ISENSOR
<id059> #3->#3. Wnd[2400000-2625000]us. Type ESENSOR
<id062> #3->#3. Wnd[2400000-2625100]us. Type ISENSOR
<id065> #1->#1. Wnd[2700000-2775000]us. Type ESENSOR
<id068> #1->#1. Wnd[2700000-2775100]us. Type ISENSOR
<id066> #2->#2. Wnd[2700000-2850000]us. Type ESENSOR
<id069> #2->#2. Wnd[2700000-2850100]us. Type ISENSOR
