eventid init_us end_us type
<id001> #1->#1. Wnd[300000-375000]us. Type ESENSOR
<id004> #1->#1. Wnd[300000-375100]us. Type ISENSOR
<id002> #2->#2. Wnd[300000-450000]us. Type ESENSOR
<id005> #2->#2. Wnd[300000-450100]us. Type ISENSOR
<id003> #3->#3. Wnd[300000-525000]us. Type ESENSOR
<id006> #3->#3. Wnd[300000-525100]us. Type ISENSOR
<id007> #1->#1. Wnd[600000-675000]us. Type ESENSOR
<id010> #1->#1. Wnd[600000-675100]us. Type ISENSOR
<id008> #2->#2. Wnd[600000-750000]us. Type ESENSOR
<id011> #2->#2. Wnd[600000-750100]us. Type ISENSOR
<id009> #3->#3. Wnd[600000-825000]us. Type ESENSOR
<id012> #3->#3. Wnd[600000-825100]us. Type ISENSOR
<id013> #1->#1. Wnd[900000-975000]us. Type ESENSOR
<id016> #1->#1. Wnd[900000-975100]us. Type ISENSOR
<id014> #2->#2. Wnd[900000-1050000]us. Type ESENSOR
<id017> #2->#2. Wnd[900000-1050100]us. Type ISENSOR
<id015> #3->#3. Wnd[900000-1125000]us. Type ESENSOR
<id018> #3->#3. Wnd[900000-1125100]us. Type ISENSOR
<id019> #1->#1. Wnd[1200000-1275000]us. Type ESENSOR
<id022> #1->#1. Wnd[1200000-1275100]us. Type ISENSOR
<id020> #2->#2. Wnd[1200000-1350000]us. Type ESENSOR
<id023> #2->#2. Wnd[1200000-1350100]us. Type ISENSOR
<id021> #3->#3. Wnd[1200000-1425000]us. Type ESENSOR
<id024> #3->#3. Wnd[1200000-1425100]us. Type ISENSOR
<id025> #1->#1. Wnd[1500000-1575000]us. Type ESENSOR
<id028> #1->#1. Wnd[1500000-1575100]us. Type ISENSOR
<id026> #2->#2. Wnd[1500000-1650000]us. Type ESENSOR
<id029> #2->#2. Wnd[1500000-1650100]us. Type ISENSOR
<id027> #3->#3. Wnd[1500000-1725000]us. Type ESENSOR
<id030> #3->#3. Wnd[1500000-1725100]us. Type ISENSOR
<id031> #1->#1. Wnd[1800000-1875000]us. Type ESENSOR
<id034> #1->#1. Wnd[1800000-1875100]us. Type ISENSOR
<id032> #2->#2. Wnd[1800000-1950000]us. Type ESENSOR
<id035> #2->#2. Wnd[1800000-1950100]us. Type ISENSOR
<id037> #2->#1. Wnd[1950247-1950380]us. Type 80211
<id037> #2->#1. Wnd[1950247-1950380]us. Type 80211
<id038> #2->#3. Wnd[1951247-1951380]us. Type 80211
<id038> #2->#3. Wnd[1951247-1951380]us. Type 80211
<id039> #1->#2. Wnd[1986444-1986577]us. Type 80211
<id039> #1->#2. Wnd[1986444-1986577]us. Type 80211
<id040> #1->#3. Wnd[1987445-1987578]us. Type 80211
<id040> #1->#3. Wnd[1987445-1987578]us. Type 80211
<id033> #3->#3. Wnd[1800000-2025000]us. Type ESENSOR
<id036> #3->#3. Wnd[1800000-2025100]us. Type ISENSOR
<id041> #1->#1. Wnd[2100000-2175000]us. Type ESENSOR
<id044> #1->#1. Wnd[2100000-2175100]us. Type ISENSOR
<id042> #2->#2. Wnd[2100000-2250000]us. Type ESENSOR
<id045> #2->#2. Wnd[2100000-2250100]us. Type ISENSOR
<id043> #3->#3. Wnd[2100000-2325000]us. Type ESENSOR
<id046> #3->#3. Wnd[2100000-2325100]us. Type ISENSOR
<id053> #3->#1. Wnd[2413918-2414051]us. Type 80211
<id053> #3->#1. Wnd[2413918-2414051]us. Type 80211
<id054> #3->#2. Wnd[2415070-2415203]us. Type 80211
<id054> #3->#2. Wnd[2415070-2415203]us. Type 80211
<id047> #1->#1. Wnd[2400000-2475000]us. Type ESENSOR
<id050> #1->#1. Wnd[2400000-2475100]us. Type ISENSOR
<id048> #2->#2. Wnd[2400000-2550000]us. Type ESENSOR
<id051> #2->#2. Wnd[2400000-2550100]us. Type ISENSOR
<id049> #3->#3. Wnd[2400000-2625000]us. Type ESENSOR
<id052> #3->#3. Wnd[2400000-2625100]us. Type ISENSOR
<id055> #1->#1. Wnd[2700000-2775000]us. Type ESENSOR
<id058> #1->#1. Wnd[2700000-2775100]us. Type ISENSOR
<id056> #2->#2. Wnd[2700000-2850000]us. Type ESENSOR
<id059> #2->#2. Wnd[2700000-2850100]us. Type ISENSOR
<id061> #2->#1. Wnd[2850246-2850379]us. Type 80211
<id061> #2->#1. Wnd[2850246-2850379]us. Type 80211
<id062> #2->#3. Wnd[2851245-2851378]us. Type 80211
<id062> #2->#3. Wnd[2851245-2851378]us. Type 80211
<id063> #1->#2. Wnd[2886444-2886577]us. Type 80211
<id063> #1->#2. Wnd[2886444-2886577]us. Type 80211
<id064> #1->#3. Wnd[2887441-2887574]us. Type 80211
<id064> #1->#3. Wnd[2887441-2887574]us. Type 80211
<id057> #3->#3. Wnd[2700000-2925000]us. Type ESENSOR
<id060> #3->#3. Wnd[2700000-2925100]us. Type ISENSOR
<id065> #1->#1. Wnd[3000000-3075000]us. Type ESENSOR
<id068> #1->#1. Wnd[3000000-3075100]us. Type ISENSOR
<id066> #2->#2. Wnd[3000000-3150000]us. Type ESENSOR
<id069> #2->#2. Wnd[3000000-3150100]us. Type ISENSOR
<id067> #3->#3. Wnd[3000000-3225000]us. Type ESENSOR
<id070> #3->#3. Wnd[3000000-3225100]us. Type ISENSOR
<id077> #3->#1. Wnd[3313913-3314046]us. Type 80211
<id077> #3->#1. Wnd[3313913-3314046]us. Type 80211
<id078> #3->#2. Wnd[3314919-3315052]us. Type 80211
<id078> #3->#2. Wnd[3314919-3315052]us. Type 80211
<id071> #1->#1. Wnd[3300000-3375000]us. Type ESENSOR
<id074> #1->#1. Wnd[3300000-3375100]us. Type ISENSOR
<id072> #2->#2. Wnd[3300000-3450000]us. Type ESENSOR
<id075> #2->#2. Wnd[3300000-3450100]us. Type ISENSOR
<id073> #3->#3. Wnd[3300000-3525000]us. Type ESENSOR
<id076> #3->#3. Wnd[3300000-3525100]us. Type ISENSOR
